[odo1] [odo2] [x] [y] 
-0.000000 0.000000 0.000000 0.000000
-0.000000 0.000000 0.000000 0.000000
-0.000000 0.000000 0.000000 0.000000
-0.000000 -0.268447 0.000000 0.000000
-0.306796 -2.109224 -0.000048 0.000000
-2.032525 -2.607767 -0.000665 0.000002
-2.339321 -2.339321 -0.001835 0.000009
-2.147573 -2.454369 -0.002971 0.000017
-2.416020 -3.183010 -0.004100 0.000025
-2.952913 -3.183010 -0.005356 0.000036
-3.259709 -3.489806 -0.006400 0.000046
-2.876214 -3.374758 -0.007551 0.000058
-2.876214 -3.451457 -0.008614 0.000070
-2.531068 -3.451457 -0.009697 0.000083
-2.224272 -3.336408 -0.010718 0.000096
-3.029612 -3.681554 -0.011559 0.000109
-3.029612 -3.489806 -0.012510 0.000124
-3.221360 -3.489806 -0.013474 0.000141
-3.106311 -3.221360 -0.014438 0.000158
-3.106311 -3.259709 -0.015306 0.000173
-3.374758 -3.259709 -0.016391 0.000193
-3.374758 -3.528156 -0.017327 0.000210
-3.489806 -3.528156 -0.018279 0.000228
-3.719903 -3.489806 -0.019254 0.000246
-3.719903 -3.413107 -0.020276 0.000265
-3.528156 -3.413107 -0.021272 0.000282
-3.643204 -3.489806 -0.022274 0.000300
-3.643204 -3.489806 -0.023266 0.000317
-3.566505 -3.413107 -0.024282 0.000335
-3.566505 -3.413107 -0.025284 0.000352
-3.681554 -3.413107 -0.026264 0.000368
-3.988350 -3.604855 -0.027265 0.000385
-3.988350 -3.566505 -0.028334 0.000402
-4.295146 -3.566505 -0.029396 0.000418
-4.295146 -3.413107 -0.030483 0.000434
-4.218447 -3.413107 -0.031568 0.000448
-4.065049 -3.374758 -0.032622 0.000461
-4.065049 -3.413107 -0.033658 0.000472
-4.410195 -3.413107 -0.034706 0.000482
-4.410195 -2.991262 -0.035792 0.000492
-4.295146 -2.991262 -0.036835 0.000499
-4.065049 -3.067962 -0.037854 0.000504
-4.065049 -3.144661 -0.038839 0.000507
-3.950001 -3.144661 -0.039854 0.000509
-3.950001 -3.374758 -0.040842 0.000509
-3.834952 -3.374758 -0.041896 0.000509
-3.796602 -3.374758 -0.042913 0.000507
-3.796602 -3.834952 -0.043925 0.000505
-4.026700 -3.834952 -0.044993 0.000503
-4.256797 -3.834952 -0.046753 0.000498
-3.911651 -3.834952 -0.048072 0.000494
-3.911651 -3.067962 -0.049385 0.000489
-4.103399 -3.067962 -0.050543 0.000484
-4.295146 -3.067962 -0.051730 0.000477
-4.180098 -3.067962 -0.052951 0.000467
-4.180098 -3.681554 -0.054100 0.000456
-4.141748 -3.681554 -0.055256 0.000442
-4.218447 -3.681554 -0.056572 0.000426
-4.218447 -3.604855 -0.057939 0.000409
-4.180098 -3.604855 -0.059252 0.000390
-4.295146 -3.451457 -0.060575 0.000370
-4.410195 -3.451457 -0.061892 0.000348
-4.410195 -3.796602 -0.063264 0.000323
-4.486894 -3.796602 -0.064595 0.000297
-4.410195 -3.796602 -0.065760 0.000273
-4.410195 -3.796602 -0.067323 0.000239
-4.333496 -3.796602 -0.068700 0.000208
-4.218447 -3.604855 -0.070082 0.000174
-4.486894 -3.604855 -0.071369 0.000142
-4.640292 -4.295146 -0.073385 0.000089
-4.563593 -4.141748 -0.076805 -0.000009
-4.180098 -4.103399 -0.079306 -0.000084
-4.716991 -3.834952 -0.081547 -0.000153
-4.947088 -4.180098 -0.083796 -0.000225
-4.832039 -4.410195 -0.086160 -0.000306
-4.448545 -3.873302 -0.088572 -0.000393
-4.026700 -3.604855 -0.090733 -0.000473
-4.103399 -3.911651 -0.092642 -0.000547
-4.716991 -4.410195 -0.094690 -0.000628
-4.256797 -4.640292 -0.096972 -0.000720
-3.604855 -4.410195 -0.099237 -0.000811
-4.026700 -4.065049 -0.101320 -0.000891
-4.486894 -4.295146 -0.103387 -0.000968
-4.525243 -4.601943 -0.105686 -0.001054
-4.371845 -4.486894 -0.107983 -0.001141
-3.988350 -4.218447 -0.110408 -0.001231
-4.563593 -4.141748 -0.112649 -0.001314
-4.295146 -4.218447 -0.115016 -0.001402
-4.180098 -4.678641 -0.117234 -0.001486
-4.026700 -5.062137 -0.119520 -0.001571
-4.180098 -4.870389 -0.121908 -0.001655
-4.141748 -4.410195 -0.124209 -0.001731
-4.103399 -4.371845 -0.126886 -0.001815
-4.218447 -4.486894 -0.129131 -0.001883
-4.103399 -4.371845 -0.131337 -0.001949
-4.065049 -4.333496 -0.133543 -0.002013
-4.333496 -4.141748 -0.135674 -0.002074
-4.333496 -4.026700 -0.137936 -0.002138
-4.295146 -4.141748 -0.140166 -0.002202
-4.333496 -4.103399 -0.142360 -0.002267
-4.678641 -4.448545 -0.144595 -0.002335
-4.640292 -4.371845 -0.147043 -0.002410
-4.295146 -4.218447 -0.149402 -0.002484
-4.065049 -4.065049 -0.151556 -0.002553
-4.295146 -4.141748 -0.153703 -0.002622
-4.371845 -4.640292 -0.155905 -0.002693
-4.486894 -5.138835 -0.158188 -0.002767
-3.873302 -4.678641 -0.160705 -0.002845
-3.988350 -4.141748 -0.162945 -0.002909
-4.410195 -3.988350 -0.165110 -0.002969
-4.295146 -3.988350 -0.167268 -0.003029
-4.103399 -4.410195 -0.169386 -0.003090
-4.103399 -4.371845 -0.171612 -0.003154
-4.256797 -4.141748 -0.173884 -0.003218
-4.256797 -3.796602 -0.176017 -0.003278
-4.448545 -3.834952 -0.178411 0.145000
-4.103399 -1.150486 -0.178408 0.142554
-0.958738 -0.728641 -0.178397 0.140867
-0.230097 -0.115049 -0.178391 0.140409
0.498544 0.230097 -0.178390 0.140317
0.997088 1.265534 -0.178392 0.140504
1.764078 1.533981 -0.178400 0.141111
2.185923 0.843689 -0.178411 0.142000
1.955825 0.076699 -0.178420 0.142822
2.531068 -0.498544 -0.178423 0.143356
2.837864 -0.460194 -0.178422 0.143912
